Feed Rate /Flute (mm/flute),Feed Rate,Depth Of Cut (mm),Spindle Speed,Time (Sec),P (kw)
0.1,384,1,1920,0,0.1
0.1,384,1,1920,1,0.1
0.1,384,1,1920,2,0.2
0.1,384,1,1920,3,0.1
0.1,384,1,1920,4,0.2
0.1,384,1,1920,5,0.2
0.1,384,1,1920,6,0.2
0.1,384,1,1920,7,0.2
0.1,384,1,1920,8,0.1
0.1,384,1,1920,9,0.2
0.1,384,1,1920,10,0.1
0.1,384,1,1920,11,0.2
0.1,384,1,1920,12,0.2
0.1,384,1,1920,13,0.1
0.1,384,1,1920,14,0.1
0.1,384,1,1920,15,0.1
0.1,384,1,1920,16,0.1
0.1,384,1,1920,17,0.1
0.1,384,1,1920,18,0.1
0.1,384,1,1920,19,0.1
0.1,384,1,1920,20,0.1
0.1,384,1,1920,21,0.1
0.1,384,1,1920,22,0.1
0.1,384,1,1920,23,0.1
0.1,384,1,1920,24,0.1
0.1,384,1,1920,25,0.1
0.1,384,1,1920,26,0.1
0.1,384,1,1920,27,0.1
0.1,384,1,1920,28,0.2
0.1,406,1,2030,0,0
0.1,406,1,2030,1,0
0.1,406,1,2030,2,0.2
0.1,406,1,2030,3,0.1
0.1,406,1,2030,4,0.2
0.1,406,1,2030,5,0.2
0.1,406,1,2030,6,0.2
0.1,406,1,2030,7,0.2
0.1,406,1,2030,8,0.1
0.1,406,1,2030,9,0.2
0.1,406,1,2030,10,0.2
0.1,406,1,2030,11,0.2
0.1,406,1,2030,12,0.2
0.1,406,1,2030,13,0.2
0.1,406,1,2030,14,0.2
0.1,406,1,2030,15,0.1
0.1,406,1,2030,16,0.1
0.1,406,1,2030,17,0.1
0.1,406,1,2030,18,0.1
0.1,406,1,2030,19,0.1
0.1,406,1,2030,20,0.1
0.1,406,1,2030,21,0.1
0.1,406,1,2030,22,0.1
0.1,406,1,2030,23,0.1
0.1,406,1,2030,24,0.1
0.1,406,1,2030,25,0.1
0.1,406,1,2030,26,0.1
0.1,406,1,2030,27,0.1
0.1,406,1,2030,28,0
0.1,431,1,2155,0,0
0.1,431,1,2155,1,0
0.1,431,1,2155,2,0
0.1,431,1,2155,3,0.1
0.1,431,1,2155,4,0.2
0.1,431,1,2155,5,0.1
0.1,431,1,2155,6,0.2
0.1,431,1,2155,7,0.2
0.1,431,1,2155,8,0.2
0.1,431,1,2155,9,0.2
0.1,431,1,2155,10,0.2
0.1,431,1,2155,11,0.2
0.1,431,1,2155,12,0.2
0.1,431,1,2155,13,0.2
0.1,431,1,2155,14,0.2
