Feed Rate,Depth Of Cut (mm),Spindle Speed,Time (Sec),P (w)
384,1000,1920,0,100
384,1000,1920,2,200
384,1000,1920,3,100
384,1000,1920,4,200
384,1000,1920,5,200
384,1000,1920,6,200
384,1000,1920,7,200
384,1000,1920,8,100
384,1000,1920,9,200
384,1000,1920,10,100
384,1000,1920,11,200
384,1000,1920,12,200
384,1000,1920,13,100
384,1000,1920,14,100
384,1000,1920,15,100
384,1000,1920,17,100
384,1000,1920,18,100
384,1000,1920,19,100
384,1000,1920,20,100
384,1000,1920,21,100
384,1000,1920,22,100
384,1000,1920,23,100
384,1000,1920,24,100
384,1000,1920,25,100
384,1000,1920,26,100
384,1000,1920,27,100
384,1000,1920,28,200
406,1000,2030,2,200
406,1000,2030,3,100
406,1000,2030,4,200
406,1000,2030,5,200
406,1000,2030,6,200
406,1000,2030,7,200
406,1000,2030,8,100
406,1000,2030,9,200
406,1000,2030,10,200
406,1000,2030,11,200
406,1000,2030,12,200
406,1000,2030,14,200
406,1000,2030,15,100
406,1000,2030,16,100
406,1000,2030,18,100
406,1000,2030,19,100
406,1000,2030,20,100
406,1000,2030,21,100
406,1000,2030,22,100
406,1000,2030,24,100
406,1000,2030,25,100
406,1000,2030,26,100
406,1000,2030,27,100
431,1000,2155,3,100
431,1000,2155,4,200
431,1000,2155,5,100
431,1000,2155,6,200
431,1000,2155,7,200
431,1000,2155,8,200
431,1000,2155,9,200
431,1000,2155,10,200
431,1000,2155,11,200
431,1000,2155,13,200
431,1000,2155,15,200
431,1000,2155,16,100
431,1000,2155,17,100
431,1000,2155,18,100
431,1000,2155,19,100
431,1000,2155,22,100
431,1000,2155,23,100
431,1000,2155,24,100
431,1000,2155,25,100
431,1000,2155,26,100
431,1000,2155,27,100
460,1000,2300,2,200
460,1000,2300,3,200
460,1000,2300,5,200
460,1000,2300,6,200
460,1000,2300,7,200
460,1000,2300,8,100
460,1000,2300,9,200
460,1000,2300,10,200
460,1000,2300,11,200
460,1000,2300,12,200
460,1000,2300,13,200
460,1000,2300,14,100
460,1000,2300,16,100
460,1000,2300,18,200
460,1000,2300,19,200
460,1000,2300,21,200
460,1000,2300,22,200
460,1000,2300,23,200
460,1000,2300,24,200
460,1000,2300,25,100
490,1000,2450,4,100
490,1000,2450,5,200
490,1000,2450,6,200
490,1000,2450,8,200
490,1000,2450,9,200
490,1000,2450,11,200
490,1000,2450,12,200
490,1000,2450,13,200
490,1000,2450,14,200
490,1000,2450,15,200
490,1000,2450,16,200
490,1000,2450,17,200
490,1000,2450,18,200
490,1000,2450,20,200
490,1000,2450,21,200
490,1000,2450,23,200
490,1000,2450,24,100
384,2000,1920,0,200
384,2000,1920,1,300
384,2000,1920,3,300
384,2000,1920,4,300
384,2000,1920,6,300
384,2000,1920,8,300
384,2000,1920,9,300
384,2000,1920,10,300
384,2000,1920,11,300
384,2000,1920,12,300
384,2000,1920,14,300
384,2000,1920,15,200
384,2000,1920,18,300
384,2000,1920,21,300
384,2000,1920,22,200
384,2000,1920,24,300
384,2000,1920,25,300
384,2000,1920,26,300
384,2000,1920,27,300
384,2000,1920,28,100
406,2000,2030,3,300
406,2000,2030,4,300
406,2000,2030,5,400
406,2000,2030,6,400
406,2000,2030,7,300
406,2000,2030,8,400
406,2000,2030,9,300
406,2000,2030,10,400
406,2000,2030,11,400
406,2000,2030,12,400
406,2000,2030,13,400
406,2000,2030,14,300
406,2000,2030,15,300
406,2000,2030,16,300
406,2000,2030,18,300
406,2000,2030,19,300
406,2000,2030,20,300
406,2000,2030,21,300
406,2000,2030,22,300
406,2000,2030,23,300
406,2000,2030,24,300
406,2000,2030,25,300
406,2000,2030,26,300
406,2000,2030,27,300
431,2000,2155,3,300
431,2000,2155,4,400
431,2000,2155,6,400
431,2000,2155,7,400
431,2000,2155,8,400
431,2000,2155,10,300
431,2000,2155,11,400
431,2000,2155,13,400
431,2000,2155,14,400
431,2000,2155,15,400
431,2000,2155,17,300
431,2000,2155,18,300
431,2000,2155,20,400
431,2000,2155,21,400
431,2000,2155,22,400
431,2000,2155,23,300
431,2000,2155,24,300
431,2000,2155,25,300
431,2000,2155,26,400
431,2000,2155,27,400
431,2000,2155,28,100
460,2000,2300,3,400
460,2000,2300,4,300
460,2000,2300,5,400
460,2000,2300,6,400
460,2000,2300,7,300
460,2000,2300,8,300
460,2000,2300,10,400
460,2000,2300,11,400
460,2000,2300,12,300
460,2000,2300,13,300
460,2000,2300,14,300
460,2000,2300,15,300
460,2000,2300,17,300
460,2000,2300,18,300
460,2000,2300,19,300
460,2000,2300,20,300
460,2000,2300,21,300
460,2000,2300,22,300
460,2000,2300,25,100
490,2000,2450,3,200
490,2000,2450,4,400
490,2000,2450,5,400
490,2000,2450,6,400
490,2000,2450,7,400
490,2000,2450,8,400
490,2000,2450,9,400
490,2000,2450,10,400
490,2000,2450,11,400
490,2000,2450,12,400
490,2000,2450,13,400
490,2000,2450,15,400
490,2000,2450,16,400
490,2000,2450,17,400
490,2000,2450,18,400
490,2000,2450,19,400
490,2000,2450,20,300
490,2000,2450,21,400
490,2000,2450,22,400
490,2000,2450,23,400
490,2000,2450,24,400
490,2000,2450,25,100
384,3000,1920,0,400
384,3000,1920,1,500
384,3000,1920,2,500
384,3000,1920,3,500
384,3000,1920,5,500
384,3000,1920,8,500
384,3000,1920,9,500
384,3000,1920,10,500
384,3000,1920,11,500
384,3000,1920,12,500
384,3000,1920,13,500
384,3000,1920,14,400
384,3000,1920,15,500
384,3000,1920,16,500
384,3000,1920,17,500
384,3000,1920,18,500
384,3000,1920,19,500
384,3000,1920,20,500
384,3000,1920,21,500
384,3000,1920,23,500
384,3000,1920,24,500
384,3000,1920,25,500
384,3000,1920,26,500
384,3000,1920,27,400
384,3000,1920,28,200
406,3000,2030,0,100
406,3000,2030,1,200
406,3000,2030,2,500
406,3000,2030,3,500
406,3000,2030,4,600
406,3000,2030,5,600
406,3000,2030,6,600
406,3000,2030,7,600
406,3000,2030,8,400
406,3000,2030,9,500
406,3000,2030,10,500
406,3000,2030,12,600
406,3000,2030,14,500
406,3000,2030,16,500
406,3000,2030,17,500
406,3000,2030,18,500
406,3000,2030,19,500
406,3000,2030,21,500
406,3000,2030,22,400
406,3000,2030,23,500
406,3000,2030,24,500
406,3000,2030,25,500
406,3000,2030,26,500
406,3000,2030,27,500
431,3000,2155,0,100
431,3000,2155,2,100
431,3000,2155,4,600
431,3000,2155,5,500
431,3000,2155,6,600
431,3000,2155,7,600
431,3000,2155,8,500
431,3000,2155,12,600
431,3000,2155,13,600
431,3000,2155,14,500
431,3000,2155,15,500
431,3000,2155,16,400
431,3000,2155,18,500
431,3000,2155,19,500
431,3000,2155,20,500
431,3000,2155,21,500
431,3000,2155,22,500
431,3000,2155,23,400
431,3000,2155,24,500
431,3000,2155,25,500
431,3000,2155,26,500
431,3000,2155,28,300
460,3000,2300,0,100
460,3000,2300,1,100
460,3000,2300,2,400
460,3000,2300,5,600
460,3000,2300,6,600
460,3000,2300,7,600
460,3000,2300,8,600
460,3000,2300,9,600
460,3000,2300,10,600
460,3000,2300,11,700
460,3000,2300,14,600
460,3000,2300,15,600
460,3000,2300,16,600
460,3000,2300,17,600
460,3000,2300,18,600
460,3000,2300,19,600
460,3000,2300,20,600
460,3000,2300,23,600
460,3000,2300,24,600
460,3000,2300,25,600
460,3000,2300,26,100
460,3000,2300,27,100
490,3000,2450,0,100
490,3000,2450,1,100
490,3000,2450,2,100
490,3000,2450,3,400
490,3000,2450,4,700
490,3000,2450,5,700
490,3000,2450,6,700
490,3000,2450,7,700
490,3000,2450,8,700
490,3000,2450,9,600
490,3000,2450,10,600
490,3000,2450,11,700
490,3000,2450,12,700
490,3000,2450,13,600
490,3000,2450,14,600
490,3000,2450,15,500
490,3000,2450,16,600
490,3000,2450,17,700
490,3000,2450,18,700
490,3000,2450,19,700
490,3000,2450,20,700
490,3000,2450,21,700
490,3000,2450,22,600
490,3000,2450,23,700
490,3000,2450,24,700
490,3000,2450,25,300
384,4000,1920,0,400
384,4000,1920,1,700
384,4000,1920,2,700
384,4000,1920,3,700
384,4000,1920,4,800
384,4000,1920,5,800
