Feed Rate /Flute (mm/flute),Feed Rate,Depth Of Cut (mm),Spindle Speed,Time (Sec),P (w)
0.1,384,1,1920,0,230
0.1,384,1,1920,1,253
0.1,384,1,1920,2,252
0.1,384,1,1920,3,251
0.1,384,1,1920,4,252
0.1,384,1,1920,5,252
0.1,384,1,1920,6,255
0.1,384,1,1920,7,253
0.1,384,1,1920,8,253
0.1,384,1,1920,9,256
0.1,384,1,1920,10,256
0.1,384,1,1920,11,246
0.1,384,1,1920,12,247
0.1,384,1,1920,13,253
0.1,384,1,1920,14,256
0.1,384,1,1920,15,254
0.1,384,1,1920,16,252
0.1,384,1,1920,17,251
0.1,384,1,1920,18,244
0.1,384,1,1920,19,239
0.1,384,1,1920,20,243
0.1,384,1,1920,21,246
0.1,384,1,1920,22,245
0.1,384,1,1920,23,248
0.1,384,1,1920,24,247
0.1,384,1,1920,25,231
0.1,406,1,2030,0,364
0.1,406,1,2030,1,368
0.1,406,1,2030,2,366
0.1,406,1,2030,3,366
0.1,406,1,2030,4,366
0.1,406,1,2030,5,266
0.1,406,1,2030,6,262
0.1,406,1,2030,7,261
0.1,406,1,2030,8,262
0.1,406,1,2030,9,257
0.1,406,1,2030,10,253
0.1,406,1,2030,11,256
0.1,406,1,2030,12,261
0.1,406,1,2030,13,263
0.1,406,1,2030,14,260
0.1,406,1,2030,15,260
0.1,406,1,2030,16,257
0.1,406,1,2030,17,254
0.1,406,1,2030,18,222
0.1,406,1,2030,19,250
0.1,406,1,2030,20,252
0.1,406,1,2030,21,253
0.1,406,1,2030,22,252
0.1,406,1,2030,23,222
0.1,431,1,2155,0,225
0.1,431,1,2155,1,286
0.1,431,1,2155,2,285
0.1,431,1,2155,3,285
0.1,431,1,2155,4,282
0.1,431,1,2155,5,284
0.1,431,1,2155,6,281
0.1,431,1,2155,7,286
0.1,431,1,2155,8,289
0.1,431,1,2155,9,283
0.1,431,1,2155,10,274
0.1,431,1,2155,11,282
0.1,431,1,2155,12,291
0.1,431,1,2155,13,296
0.1,431,1,2155,14,292
0.1,431,1,2155,15,293
0.1,431,1,2155,16,289
0.1,431,1,2155,17,283
0.1,431,1,2155,18,272
0.1,431,1,2155,19,282
0.1,431,1,2155,20,282
0.1,431,1,2155,21,281
0.1,431,1,2155,22,279
0.1,460,1,2300,0,301
0.1,460,1,2300,1,301
0.1,460,1,2300,2,299
0.1,460,1,2300,3,300
0.1,460,1,2300,4,295
0.1,460,1,2300,5,301
0.1,460,1,2300,6,302
0.1,460,1,2300,7,303
0.1,460,1,2300,8,298
0.1,460,1,2300,9,292
0.1,460,1,2300,10,300
0.1,460,1,2300,11,302
0.1,460,1,2300,12,303
0.1,460,1,2300,13,300
0.1,460,1,2300,14,300
0.1,460,1,2300,15,296
0.1,460,1,2300,16,255
0.1,460,1,2300,17,291
0.1,460,1,2300,18,292
0.1,460,1,2300,19,292
0.1,460,1,2300,20,292
0.1,490,1,2450,0,247
0.1,490,1,2450,1,304
0.1,490,1,2450,2,305
0.1,490,1,2450,3,304
0.1,490,1,2450,4,304
0.1,490,1,2450,5,306
0.1,490,1,2450,6,311
0.1,490,1,2450,7,310
0.1,490,1,2450,8,295
0.1,490,1,2450,9,292
0.1,490,1,2450,10,303
0.1,490,1,2450,11,303
0.1,490,1,2450,12,309
0.1,490,1,2450,13,302
0.1,490,1,2450,14,301
0.1,490,1,2450,15,293
0.1,490,1,2450,16,269
0.1,490,1,2450,17,290
0.1,490,1,2450,18,297
0.1,490,1,2450,19,296
0.1,490,1,2450,20,230
0.1,384,2,1920,0,390
0.1,384,2,1920,1,395
0.1,384,2,1920,2,396
0.1,384,2,1920,3,397
